Index,V1,V2,V3
1,-0.109,53.5,53.4
2,0.000,53.4,53.1
3,0.178,53.1,52.7
4,0.339,52.7,52.4
5,0.373,52.4,52.2
6,0.441,52.2,52.0
7,0.461,52.0,52.0
8,0.348,52.0,52.4
9,0.127,52.4,53.0
10,-0.180,53.0,54.0
11,-0.588,54.0,54.9
12,-1.055,54.9,56.0
13,-1.421,56.0,56.8
14,-1.520,56.8,56.8
15,-1.302,56.8,56.4
16,-0.814,56.4,55.7
17,-0.475,55.7,55.0
18,-0.193,55.0,54.3
19,0.088,54.3,53.2
20,0.435,53.2,52.3
21,0.771,52.3,51.6
22,0.866,51.6,51.2
23,0.875,51.2,50.8
24,0.891,50.8,50.5
25,0.987,50.5,50.0
26,1.263,50.0,49.2
27,1.775,49.2,48.4
28,1.976,48.4,47.9
29,1.934,47.9,47.6
30,1.866,47.6,47.5
31,1.832,47.5,47.5
32,1.767,47.5,47.6
33,1.608,47.6,48.1
34,1.265,48.1,49.0
35,0.790,49.0,50.0
36,0.360,50.0,51.1
37,0.115,51.1,51.8
38,0.088,51.8,51.9
39,0.331,51.9,51.7
40,0.645,51.7,51.2
41,0.960,51.2,50.0
42,1.409,50.0,48.3
43,2.670,48.3,47.0
44,2.834,47.0,45.8
45,2.812,45.8,45.6
46,2.483,45.6,46.0
47,1.929,46.0,46.9
48,1.485,46.9,47.8
49,1.214,47.8,48.2
50,1.239,48.2,48.3
51,1.608,48.3,47.9
52,1.905,47.9,47.2
53,2.023,47.2,47.2
54,1.815,47.2,48.1
55,0.535,48.1,49.4
56,0.122,49.4,50.6
57,0.009,50.6,51.5
58,0.164,51.5,51.6
59,0.671,51.6,51.2
60,1.019,51.2,50.5
61,1.146,50.5,50.1
62,1.155,50.1,49.8
63,1.112,49.8,49.6
64,1.121,49.6,49.4
65,1.223,49.4,49.3
66,1.257,49.3,49.2
67,1.157,49.2,49.3
68,0.913,49.3,49.7
69,0.620,49.7,50.3
70,0.255,50.3,51.3
71,-0.280,51.3,52.8
72,-1.080,52.8,54.4
73,-1.551,54.4,56.0
74,-1.799,56.0,56.9
75,-1.825,56.9,57.5
76,-1.456,57.5,57.3
77,-0.944,57.3,56.6
78,-0.570,56.6,56.0
79,-0.431,56.0,55.4
80,-0.577,55.4,55.4
81,-0.960,55.4,56.4
82,-1.616,56.4,57.2
83,-1.875,57.2,58.0
84,-1.891,58.0,58.4
85,-1.746,58.4,58.4
86,-1.474,58.4,58.1
87,-1.201,58.1,57.7
88,-0.927,57.7,57.0
89,-0.524,57.0,56.0
90,0.040,56.0,54.7
91,0.788,54.7,53.2
92,0.943,53.2,52.1
93,0.930,52.1,51.6
94,1.006,51.6,51.0
95,1.137,51.0,50.5
96,1.198,50.5,50.4
97,1.054,50.4,51.0
98,0.595,51.0,51.8
99,-0.080,51.8,52.4
100,-0.314,52.4,53.0
101,-0.288,53.0,53.4
102,-0.153,53.4,53.6
103,-0.109,53.6,53.7
104,-0.187,53.7,53.8
105,-0.255,53.8,53.8
106,-0.229,53.8,53.8
107,-0.007,53.8,53.3
108,0.254,53.3,53.0
109,0.330,53.0,52.9
110,0.102,52.9,53.4
111,-0.423,53.4,54.6
112,-1.139,54.6,56.4
113,-2.275,56.4,58.0
114,-2.594,58.0,59.4
115,-2.716,59.4,60.2
116,-2.510,60.2,60.0
117,-1.790,60.0,59.4
118,-1.346,59.4,58.4
119,-1.081,58.4,57.6
120,-0.910,57.6,56.9
121,-0.876,56.9,56.4
122,-0.885,56.4,56.0
123,-0.800,56.0,55.7
124,-0.544,55.7,55.3
125,-0.416,55.3,55.0
126,-0.271,55.0,54.4
127,0.000,54.4,53.7
128,0.403,53.7,52.8
129,0.841,52.8,51.6
130,1.285,51.6,50.6
131,1.607,50.6,49.4
132,1.746,49.4,48.8
133,1.683,48.8,48.5
134,1.485,48.5,48.7
135,0.993,48.7,49.2
136,0.648,49.2,49.8
137,0.577,49.8,50.4
138,0.577,50.4,50.7
139,0.632,50.7,50.9
140,0.747,50.9,50.7
141,0.900,50.7,50.5
142,0.993,50.5,50.4
143,0.968,50.4,50.2
144,0.790,50.2,50.4
145,0.399,50.4,51.2
146,-0.161,51.2,52.3
147,-0.553,52.3,53.2
148,-0.603,53.2,53.9
149,-0.424,53.9,54.1
150,-0.194,54.1,54.0
151,-0.049,54.0,53.6
152,0.060,53.6,53.2
153,0.161,53.2,53.0
154,0.301,53.0,52.8
155,0.517,52.8,52.3
156,0.566,52.3,51.9
157,0.560,51.9,51.6
158,0.573,51.6,51.6
159,0.592,51.6,51.4
160,0.671,51.4,51.2
161,0.933,51.2,50.7
162,1.337,50.7,50.0
163,1.460,50.0,49.4
164,1.353,49.4,49.3
165,0.772,49.3,49.7
166,0.218,49.7,50.6
167,-0.237,50.6,51.8
168,-0.714,51.8,53.0
169,-1.099,53.0,54.0
170,-1.269,54.0,55.3
171,-1.175,55.3,55.9
172,-0.676,55.9,55.9
173,0.033,55.9,54.6
174,0.556,54.6,53.5
175,0.643,53.5,52.4
176,0.484,52.4,52.1
177,0.109,52.1,52.3
178,-0.310,52.3,53.0
179,-0.697,53.0,53.8
180,-1.047,53.8,54.6
181,-1.218,54.6,55.4
182,-1.183,55.4,55.9
183,-0.873,55.9,55.9
184,-0.336,55.9,55.2
185,0.063,55.2,54.4
186,0.084,54.4,53.7
187,0.000,53.7,53.6
188,0.001,53.6,53.6
189,0.209,53.6,53.2
190,0.556,53.2,52.5
191,0.782,52.5,52.0
192,0.858,52.0,51.4
193,0.918,51.4,51.0
194,0.862,51.0,50.9
195,0.416,50.9,52.4
196,-0.336,52.4,53.5
197,-0.959,53.5,55.6
198,-1.813,55.6,58.0
199,-2.378,58.0,59.5
200,-2.499,59.5,60.0
201,-2.473,60.0,60.4
202,-2.330,60.4,60.5
203,-2.053,60.5,60.2
204,-1.739,60.2,59.7
